brand,anchor_rank_us,key,country,product_name,currency_symbol,price,product_url,status
Gucci,1,A0020YAAGRB1000,US,Horsebit Ristretto medium shoulder bag,$,3350.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/horsebit-ristretto-medium-shoulder-bag-p-A0020YAAGRB1000,ok_from_category
Gucci,2,A0022VAAG211096,US,,,,https://www.gucci.com/us/en/pr/-p-A0022VAAG211096,ok_from_category
Gucci,3,853971FAF3Y2155,US,Gucci Giglio large tote bag,$,2350.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gucci-giglio-large-tote-bag-p-853971FAF3Y2155,ok_from_category
Gucci,4,866732FAFV99653,US,,,,https://www.gucci.com/us/en/pr/-p-866732FAFV99653,ok_from_category
Gucci,5,875018AAGIQ1053,US,Paparazzo medium top handle bag,$,3650.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/paparazzo-medium-top-handle-bag-p-875018AAGIQ1053,ok_from_category
Gucci,6,875018FAFV99653,US,Paparazzo medium top handle bag,$,3250.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/paparazzo-medium-top-handle-bag-p-875018FAFV99653,ok_from_category
Gucci,1,A0020YAAGRB1000,FR,Sac à épaule Horsebit Ristretto moyen format,$,2750.0,https://www.gucci.com/fr/fr/pr/women/handbags/shoulder-bags-for-women/horsebit-ristretto-medium-shoulder-bag-p-A0020YAAGRB1000,ok_from_category
Gucci,2,A0022VAAG211096,FR,Bamboo Tote grand sac,$,3600.0,https://www.gucci.com/fr/fr/pr/women/handbags/shoulder-bags-for-women/bamboo-tote-large-bag-p-A0022VAAG211096,ok_from_category
Gucci,3,853971FAF3Y2155,FR,,,,https://www.gucci.com/fr/fr/pr/-p-853971FAF3Y2155,ok_from_category
Gucci,4,866732FAFV99653,FR,,,,https://www.gucci.com/fr/fr/pr/-p-866732FAFV99653,ok_from_category
Gucci,5,875018AAGIQ1053,FR,Sac à main Paparazzo moyen format,$,2900.0,https://www.gucci.com/fr/fr/pr/women/handbags/shoulder-bags-for-women/paparazzo-medium-top-handle-bag-p-875018AAGIQ1053,ok_from_category
Gucci,6,875018FAFV99653,FR,Sac à main Paparazzo moyen format,$,2600.0,https://www.gucci.com/fr/fr/pr/women/handbags/shoulder-bags-for-women/paparazzo-medium-top-handle-bag-p-875018FAFV99653,ok_from_category
Gucci,1,A0020YAAGRB1000,IT,Borsa a spalla Horsebit Ristretto misura media,$,2750.0,https://www.gucci.com/it/it/pr/women/handbags/shoulder-bags-for-women/horsebit-ristretto-medium-shoulder-bag-p-A0020YAAGRB1000,ok_from_category
Gucci,2,A0022VAAG211096,IT,Borsa Bamboo Tote misura grande,$,3600.0,https://www.gucci.com/it/it/pr/women/handbags/shoulder-bags-for-women/bamboo-tote-large-bag-p-A0022VAAG211096,ok_from_category
Gucci,3,853971FAF3Y2155,IT,,,,https://www.gucci.com/it/it/pr/-p-853971FAF3Y2155,ok_from_category
Gucci,4,866732FAFV99653,IT,,,,https://www.gucci.com/it/it/pr/-p-866732FAFV99653,ok_from_category
Gucci,5,875018AAGIQ1053,IT,Borsa a mano Paparazzo misura media,$,2900.0,https://www.gucci.com/it/it/pr/women/handbags/shoulder-bags-for-women/paparazzo-medium-top-handle-bag-p-875018AAGIQ1053,ok_from_category
Gucci,6,875018FAFV99653,IT,Borsa a mano Paparazzo misura media,$,2600.0,https://www.gucci.com/it/it/pr/women/handbags/shoulder-bags-for-women/paparazzo-medium-top-handle-bag-p-875018FAFV99653,ok_from_category
Gucci,1,A0020YAAGRB1000,CN,,,,,not_found_in_country_listing
Gucci,2,A0022VAAG211096,CN,,,,,not_found_in_country_listing
Gucci,3,853971FAF3Y2155,CN,,,,,not_found_in_country_listing
Gucci,4,866732FAFV99653,CN,,,,,not_found_in_country_listing
Gucci,5,875018AAGIQ1053,CN,,,,,not_found_in_country_listing
Gucci,6,875018FAFV99653,CN,,,,,not_found_in_country_listing
