brand,anchor_rank_us,key,country,product_name,currency_symbol,price,product_url,status
Prada,1,1BA495_2G52_F0002_V_OPO,US,FROM THE RUNWAY FROM THE RUNWAY Prada Passage medium leather bag with Re-Nylon flap,$,4100.0,https://www.prada.com/us/en/p/prada-passage-medium-leather-bag-with-re-nylon-flap/1BA495_2G52_F0002_V_OPO,ok_from_category
Prada,2,1BA495_2G52_F0201_V_OPO,US,Prada Passage medium leather bag with Re-Nylon flap,$,4100.0,https://www.prada.com/us/en/p/prada-passage-medium-leather-bag-with-re-nylon-flap/1BA495_2G52_F0201_V_OPO,ok_from_category
Prada,3,1BG644_2G6F_F0002_V_OOO,US,Prada Route large leather tote bag,$,5000.0,https://www.prada.com/us/en/p/prada-route-large-leather-tote-bag/1BG644_2G6F_F0002_V_OOO,ok_from_category
Prada,4,1BG645_2G6F_F0002_V_OOO,US,FROM THE RUNWAY FROM THE RUNWAY Prada Route medium leather tote bag,$,4500.0,https://www.prada.com/us/en/p/prada-route-medium-leather-tote-bag/1BG645_2G6F_F0002_V_OOO,ok_from_category
Prada,5,1BB162_2HFQ_F0002_V_OOO,US,FROM THE RUNWAY FROM THE RUNWAY Prada Route large leather top-handle bag,$,3700.0,https://www.prada.com/us/en/p/prada-route-large-leather-top-handle-bag/1BB162_2HFQ_F0002_V_OOO,ok_from_category
Prada,6,1BB162_2HFQ_F0324_V_OOO,US,Prada Route large leather top-handle bag,$,3700.0,https://www.prada.com/us/en/p/prada-route-large-leather-top-handle-bag/1BB162_2HFQ_F0324_V_OOO,ok_from_category
Prada,7,1BG645_2G6F_F0324_V_OOO,US,Prada Route medium leather tote bag,$,4500.0,https://www.prada.com/us/en/p/prada-route-medium-leather-tote-bag/1BG645_2G6F_F0324_V_OOO,ok_from_category
Prada,8,1BG644_2G6F_F0324_V_OOO,US,Prada Route large leather tote bag,$,5000.0,https://www.prada.com/us/en/p/prada-route-large-leather-tote-bag/1BG644_2G6F_F0324_V_OOO,ok_from_category
Prada,9,1BG644_2G6S_F0161_V_OOO,US,Prada Route large canvas and leather tote bag,$,3200.0,https://www.prada.com/us/en/p/prada-route-large-canvas-and-leather-tote-bag/1BG644_2G6S_F0161_V_OOO,ok_from_category
Prada,10,1BG651_2G6W_F0161_V_OOO,US,Prada Route large canvas and leather tote bags,$,3300.0,https://www.prada.com/us/en/p/prada-route-large-canvas-and-leather-tote-bags/1BG651_2G6W_F0161_V_OOO,ok_from_category
