key,product_name,currency_symbol,price,product_url
1BA495_2G52_F0002_V_OPO,FROM THE RUNWAY FROM THE RUNWAY Prada Passage medium leather bag with Re-Nylon flap,$,4100,https://www.prada.com/us/en/p/prada-passage-medium-leather-bag-with-re-nylon-flap/1BA495_2G52_F0002_V_OPO
1BA495_2G52_F0201_V_OPO,Prada Passage medium leather bag with Re-Nylon flap,$,4100,https://www.prada.com/us/en/p/prada-passage-medium-leather-bag-with-re-nylon-flap/1BA495_2G52_F0201_V_OPO
1BG644_2G6F_F0002_V_OOO,Prada Route large leather tote bag,$,5000,https://www.prada.com/us/en/p/prada-route-large-leather-tote-bag/1BG644_2G6F_F0002_V_OOO
1BG645_2G6F_F0002_V_OOO,FROM THE RUNWAY FROM THE RUNWAY Prada Route medium leather tote bag,$,4500,https://www.prada.com/us/en/p/prada-route-medium-leather-tote-bag/1BG645_2G6F_F0002_V_OOO
1BB162_2HFQ_F0002_V_OOO,FROM THE RUNWAY FROM THE RUNWAY Prada Route large leather top-handle bag,$,3700,https://www.prada.com/us/en/p/prada-route-large-leather-top-handle-bag/1BB162_2HFQ_F0002_V_OOO
1BB162_2HFQ_F0324_V_OOO,Prada Route large leather top-handle bag,$,3700,https://www.prada.com/us/en/p/prada-route-large-leather-top-handle-bag/1BB162_2HFQ_F0324_V_OOO
1BG645_2G6R_F0K74_V_OOO,Prada Route medium leather tote bag,$,4500,https://www.prada.com/us/en/p/prada-route-medium-leather-tote-bag/1BG645_2G6R_F0K74_V_OOO
1BG645_2G6F_F0324_V_OOO,Prada Route medium leather tote bag,$,4500,https://www.prada.com/us/en/p/prada-route-medium-leather-tote-bag/1BG645_2G6F_F0324_V_OOO
1BG644_2G6F_F0324_V_OOO,Prada Route large leather tote bag,$,5000,https://www.prada.com/us/en/p/prada-route-large-leather-tote-bag/1BG644_2G6F_F0324_V_OOO
1BG644_2G6S_F0002_V_OOO,Prada Route large canvas and leather tote bag,$,3200,https://www.prada.com/us/en/p/prada-route-large-canvas-and-leather-tote-bag/1BG644_2G6S_F0002_V_OOO
1BG644_2G6S_F0161_V_OOO,Prada Route large canvas and leather tote bag,$,3200,https://www.prada.com/us/en/p/prada-route-large-canvas-and-leather-tote-bag/1BG644_2G6S_F0161_V_OOO
1BG651_2G6W_F0161_V_OOO,Prada Route large canvas and leather tote bags,$,3300,https://www.prada.com/us/en/p/prada-route-large-canvas-and-leather-tote-bags/1BG651_2G6W_F0161_V_OOO
1BC289_2G6F_F0324_V_OOO,Prada Route large leather bag,$,3450,https://www.prada.com/us/en/p/prada-route-large-leather-bag/1BC289_2G6F_F0324_V_OOO
1BG641_2G6D_F0324_V_OOO,Prada Carry medium suede tote bag,$,3450,https://www.prada.com/us/en/p/prada-carry-medium-suede-tote-bag/1BG641_2G6D_F0324_V_OOO
